62,"The Valley                         ",AIA,"窶・                ",595
63,"Saint Johnﾂｴs                      ",ATG,"St John             ",24000
1000,"Taman                              ",IDN,"East Java           ",107000
1001,"Depok                              ",IDN,"Yogyakarta          ",106800
1002,"Citeureup                          ",IDN,"West Java           ",105100
1003,"Pemalang                           ",IDN,"Central Java        ",103500
1004,"Klaten                             ",IDN,"Central Java        ",103300
1005,"Salatiga                           ",IDN,"Central Java        ",103000
1006,"Cibinong                           ",IDN,"West Java           ",101300
1007,"Palangka Raya                      ",IDN,"Kalimantan Tengah   ",99693
1008,"Mojokerto                          ",IDN,"East Java           ",96626
1009,"Purwakarta                         ",IDN,"West Java           ",95900
1010,"Garut                              ",IDN,"West Java           ",95800
1011,"Kudus                              ",IDN,"Central Java        ",95300
1012,"Kendari                            ",IDN,"Sulawesi Tenggara   ",94800
1013,"Jaya Pura                          ",IDN,"West Irian          ",94700
1014,"Gorontalo                          ",IDN,"Sulawesi Utara      ",94058
1015,"Majalaya                           ",IDN,"West Java           ",93200
1016,"Pondok Aren                        ",IDN,"West Java           ",92700
1017,"Jombang                            ",IDN,"East Java           ",92600
1018,"Sunggal                            ",IDN,"Sumatera Utara      ",92300
1019,"Batam                              ",IDN,"Riau                ",91871
1020,"Padang Sidempuan                   ",IDN,"Sumatera Utara      ",91200
1021,"Sawangan                           ",IDN,"West Java           ",91100
1022,"Banyuwangi                         ",IDN,"East Java           ",89900
1023,"Tanjung Pinang                     ",IDN,"Riau                ",89900
1024,"Mumbai (Bombay)                    ",IND,"Maharashtra         ",10500000
1025,"Delhi                              ",IND,"Delhi               ",7206704
1026,"Calcutta [Kolkata]                 ",IND,"West Bengali        ",4399819
1027,"Chennai (Madras)                   ",IND,"Tamil Nadu          ",3841396
1028,"Hyderabad                          ",IND,"Andhra Pradesh      ",2964638
1029,"Ahmedabad                          ",IND,"Gujarat             ",2876710
1030,"Bangalore                          ",IND,"Karnataka           ",2660088
1031,"Kanpur                             ",IND,"Uttar Pradesh       ",1874409
1032,"Nagpur                             ",IND,"Maharashtra         ",1624752
1033,"Lucknow                            ",IND,"Uttar Pradesh       ",1619115
1034,"Pune                               ",IND,"Maharashtra         ",1566651
1035,"Surat                              ",IND,"Gujarat             ",1498817
1036,"Jaipur                             ",IND,"Rajasthan           ",1458483
1037,"Indore                             ",IND,"Madhya Pradesh      ",1091674
1038,"Bhopal                             ",IND,"Madhya Pradesh      ",1062771
1039,"Ludhiana                           ",IND,"Punjab              ",1042740
